"","annee_naissance","age","emploi","revenu","genre","citoyennete","ethnie","minorite","education","religion","reseau_social","residence","naissance_pays_residence","cohabitation","droit_vote","province","naissance_province_residence","classe_sociale","classe_sociale_parents","langue","province_naissance_parents","pays_naissance_parents","climat_social","covid_satisfaction","covid_soin","covid_gestion","covid_inquietude","covid_jeune","covid_politiques","immigration_ouverture","immigration_syrie","climat_economie","transition_energetique_taxes","climat_impact","confiance_police","securite_quartier","securite_gouvernement","securite_immigration","securite_frontieres","immigration_quotas","minorites_partis","corruption","corruption_participation","corruption_evaluation_partis","mondialisation","economie_sociotropique","economie_egotropique","economie_satisfaction","economie_preoccupation","economie_criteres","economieCANADA_confiance","economieFRANCE_confiance","immigrationCANADA_confiance","immigrationFRANCE_confiance","deficit","representation_minorites","enjeux_chomage","enjeux_environnement","enjeux_immigration","enjeux_economie","enjeux_education","enjeux_sante","importance_immigration","importance_ecologie","inquietude_attentats","ideologie","satisfaction_democracie","satisfaction_gouvernement","institutions_democratiques","vote_demonstration","confiance_ChefEtat","altruisme_politiques","education_civique","ecoles","comprehension_elites","importance_vote","importance_representation","disproportion_electorale","partis_votes","votes_objectif","votes_delais","reedition_compte","importance_chef","interet_politique","interet_politiqueUS","connaissances_politiqueUS","engagement_politique","proche_parti","importance_traits","trait_integrite","trait_leadership","trait_competence","trait_empathie","representation_partis","mode_scrutin","changement_scrutin","vote_nationaliste","integration_localite","parti_liberal","parti_conservateur","ndp","bloc_quebecois","parti_vert","source_information","reseausociaux_cause","medias_traditionnels","consultation_sondage1","consultation_sondageCANADA","consultation_sondageFRANCE","principale_source","engagement_reseauxsociaux","abonnements_personnalites","frequence_utilisation","inscription_reseauxsociaux","contact_information","plateforme","couverture_influence","medias_neutralite","influence_medias","biais_medias","chaines_independance","niveau_information","effet_debats","importance_debatsTV","confiance_contenuRS","confiance_TVRadio","confiance_presseecrite","site_parti","like_parti","sophistication_etatsunis","sophistication_freeland","sophistication_legault","sophistication_macron","sophistication_pence","sophistication_singh","participation","vote_quebec2018_CAQ","vote_quebec2018_PQ","vote_quebec2018_PLQ","vote_quebec2018_QS","vote_quebec2018_vert","vote_quebec2018_autre","vote_quebec2018_bulletinnul","vote_quebec2018_pasvote","vote_US","vote_habitude","vote_memeparti","vote_france_enmarche","vote_france_republicains","vote_france_verts","vote_france_PS","vote_france_RN","vote_france_insoumise","vote_canada_liberal","vote_canada_conservateur","vote_canada_npd","vote_canada_bloc","vote_canada_vert","vote_canada_autre","vote_quebec_CAQ","vote_quebec_PQ","vote_quebec_PLQ","vote_quebec_QS","vote_quebec_vert","vote_quebec_autre","anciens_presidents","vote_strategique","aucune_preference","preference_parti","satisfaction_modescrutin","vote_chancesfavoris","importance_competence","motivation","premier_choix","strategie_vote2","autrechoix_frequence","refus_voteCANADA","refus_voteFRANCE"
"613",1999,21,"Salarié à temps plein","moins de $30,000","Homme","Canada","Français",2,"Secondaire / Collégiales / CEGEP / Lycée / DEP","pas très important","oui, beaucoup","Canada",1,1,NA,"QC",1,"classe ouvrière",1,1,"oui","oui","détérioré","Satisfait",NA,"Satisfait",5,"Parti vert","Les politiques sont adéquates, mais l'économie souffre","Beaucoup plus d'ouverture","Plutôt en désaccord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Assez en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord",NA,"Assez en désaccord","Plutôt en désaccord","Parti vert","Très répandue",9,8,"Plutôt mauvaise opinion","détériorée","resté stable","Sans opinion","Moyennement","Je vais faire un croisement entre les politiques passées et les perspectives proposées","Parti libéral",NA,"Parti vert",NA,NA,NA,2,3,5,6,4,1,8,"Beaucoup",NA,3,"Assez satisfait","Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Non, pas envers l’élite politique mais la démocratie seulement","Moyennement confiance","Peu","Plutôt en désaccord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Ni en accord, ni en désaccord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord","Plutôt d’accord",5,7,"Intéressé",7,"Le vote","Oui",5,1,2,3,4,"Pas vraiment","Peu satisfait","Plutôt en faveur",0,4,7,2,8,5,9,"Réseaux sociaux","Oui, une fois","Assez","Non",NA,NA,"Réseaux sociaux","Un peu","Non","Moins d'une heure/jour",3,"Souvent","Youtube","Assez","Fortement d’accord",NA,"Assez en désaccord","Ni en accord, ni en désaccord","Plutôt informé",5,7,"Moyennement confiance","Moyennement confiance","Moyennement confiance","Incertain","Oui",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,2,"Oui, je vote toujours",1,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,NA,7,"Ne pas voter","Ne pas voter","Pas satisfait","Je n'irais probablement pas voter",7,"L'idéologie","Oui",NA,"Toutes les élections","Parti conservateur",NA
"614",1999,21,"Travailleur autonome (avec ou sans employés)","moins de $30,000","Homme","France",NA,2,"universitaire premier cycle","pas important du tout","oui, quelques-uns","France",1,2,1,NA,NA,"classe moyenne",1,1,"non","oui","détérioré","Très insatisfait",2,"Peu satisfait",8,"Parti libéral","Les politiques sont mauvaises","Je ne sais pas","Ni en accord, ni en désaccord","Plutôt en désaccord","Plutôt en désaccord","Ni en accord, ni en désaccord","Assez en désaccord","Fortement d’accord","Plutôt d’accord",NA,"Plutôt d’accord","Plutôt d’accord","Parti conservateur","Peu répandue",9,8,"Plutôt bonne opinion","détériorée","améliorée","Assez satisfaisant","Grandement","Je vais faire un croisement entre les politiques passées et les perspectives proposées",NA,"Aucun",NA,"Aucun",1,"Beaucoup plus importante",6,5,4,1,3,2,5,"Aucune","Peu inquiet",5,"Peu satisfait","Pas du tout satisfait",NA,"Non, pas envers l’élite politique mais la démocratie seulement","Pas confiance","Pas du tout","Plutôt en désaccord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord",1,5,"Intéressé",5,"Le vote","Non",5,3,1,2,4,"Pas vraiment","Neutre",NA,NA,5,5,5,5,5,5,"Articles internet","Non","Peu","Non",NA,NA,"Réseaux sociaux","Un peu","Non","plus de 3 heures/jour",4,"Souvent","Twitter","Peu","Fortement d’accord",NA,"Fortement d’accord","Fortement en désaccord","Pas très informé",5,5,"Un peu confiance","Moyennement confiance","Moyennement confiance",NA,"Oui",NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"Oui, je vote toujours",2,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chirac",5,"Ne pas voter","Voter pour ce parti quand même","Ni satisfait, ni insatisfait","J'irais probablement voter",5,"L'idéologie","Non","Oui","Une élection sur deux",NA,"République en marche"
"615",1999,21,NA,"$30,000 à $60,000","Homme","Canada","Anglais",2,"universitaire premier cycle","pas important du tout","oui, beaucoup","Canada",1,1,1,"QC",1,"classe ouvrière",1,1,"oui","oui","resté stable","Très insatisfait",2,"Très insatisfait",9,"NPD","Les politiques sont mauvaises","Beaucoup moins d'ouverture","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Plutôt d’accord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord",NA,"Fortement d’accord","Fortement d’accord","NDP","Assez répandue",7,5,"Plutôt bonne opinion","détériorée","resté stable","Peu satisfaisant","Grandement",NA,"Parti libéral",NA,"Parti conservateur",NA,1,"Ni plus ni moins importante",4,5,2,1,3,6,6,"Beaucoup",NA,6,"Peu satisfait","Peu satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Oui, totalement","Confiance","Moyennement","Ni en accord, ni en désaccord","Fortement d’accord","Plutôt d’accord","Ni en accord, ni en désaccord","Fortement d’accord","Fortement d’accord","Plutôt en désaccord","Assez en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord",7,5,"Peu intéressé",5,"Manifestations et pétitions","Non",8,2,1,4,3,"Pas vraiment","Peu satisfait","Plutôt en faveur",7,10,4,1,6,6,8,"Articles internet","Oui, une fois","Peu","Non",NA,NA,"Réseaux sociaux","Oui","Oui, de tous bords politiques","1-2 heure/jour",2,"Souvent","Youtube","Pas du tout","Ni en accord, ni en désaccord",NA,"Assez en désaccord","Ni en accord, ni en désaccord","Pas très informé",4,6,"Moyennement confiance","Moyennement confiance","Moyennement confiance","Oui","Oui",1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,"Non, jamais",2,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,"De Gaulle",5,"Choisir l'option la moins pire","Ne pas voter","Pas satisfait","Je ne sais pas si je voterais",6,"L'idéologie",NA,NA,"À aucune élection","Parti libéral",NA
"616",1999,21,NA,"$30,000 à $60,000","Homme","France",NA,2,"Secondaire / Collégiales / CEGEP / Lycée / DEP",NA,"oui, beaucoup","France",1,1,1,NA,NA,"classe ouvrière",1,1,"oui","oui","détérioré","Peu satisfait",1,"Peu satisfait",6,NA,"Les politiques sont adéquates, mais l'économie souffre","Un peu plus d'ouverture","Assez en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Fortement d’accord","Assez en désaccord","Fortement d’accord","Ni en accord, ni en désaccord",NA,"Ni en accord, ni en désaccord","Ni en accord, ni en désaccord",NA,"Assez répandue",8,8,"Ni bonne ni mauvaise opinion","détériorée","détériorée","Pas du tout satisfaisant","Grandement","Je vais davantage m’intéresser aux politiques proposées",NA,NA,NA,"Parti socialiste",1,"Plus importante",4,6,5,1,2,3,5,"Un peu","Peu inquiet",5,"Peu satisfait","Moyennement satisfait","Je ne m’y intéresse que très peu parce que je ne suis pas intéressé.e par a politique","Non, pas envers l’élite politique mais la démocratie seulement","Confiance","Moyennement","Plutôt d’accord","Plutôt d’accord","Assez en désaccord","Fortement d’accord","Fortement d’accord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord",5,1,"désintéressé",2,"Le vote","Non",4,3,2,4,1,NA,"Neutre","Plutôt en faveur",NA,8,NA,NA,NA,NA,6,"Réseaux sociaux","Oui, une fois","Peu","Non",NA,NA,"Famille","Pas du tout","Non","2-3 heures/jour",4,"Rarement","Twitter","Assez","Plutôt d’accord",NA,"Fortement d’accord","Assez en désaccord","Pas très informé",6,8,"Moyennement confiance","Moyennement confiance","Moyennement confiance","Oui","Oui",NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui, je vote toujours",1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macron",5,"Ne pas voter","Ne pas voter","Satisfait","J'irais certainement voter",7,"Ni l'un ni l'autre","Oui",NA,"À aucune élection",NA,"RN"
"617",1999,21,NA,"$30,000 à $60,000","Homme",NA,NA,2,"universitaire deuxième cycle et plus","pas très important","oui, quelques-uns","Canada",2,2,1,"QC",2,"classe moyenne",1,1,"non","non","détérioré","Satisfait",2,"Satisfait",5,NA,"Les politiques sont adéquates, mais l'économie souffre","Un peu plus d'ouverture","Plutôt en désaccord","Plutôt d’accord","Assez en désaccord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord",NA,"Ni en accord, ni en désaccord","Assez en désaccord","Je ne sais pas","Assez répandue",10,8,"Plutôt bonne opinion","détériorée","resté stable","Assez satisfaisant","Moyennement","Je vais faire un croisement entre les politiques passées et les perspectives proposées","Parti libéral",NA,"Parti libéral",NA,1,"Ni plus ni moins importante",1,3,4,5,6,2,8,"Un peu",NA,5,"Peu satisfait","Peu satisfait","Je ne m’y intéresse pas du tout parce que je n’y crois plus","Non, pas envers l’élite politique mais la démocratie seulement","Pas confiance","Correctement","Plutôt d’accord","Plutôt d’accord","Plutôt en désaccord","Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Ni en accord, ni en désaccord","Plutôt en désaccord","Ni en accord, ni en désaccord","Plutôt d’accord",8,7,"Intéressé",6,"Manifestations, pétitions et vote","Non",6,3,2,1,4,"Ne s'applique pas","Ne s'applique pas","Ne s'applique pas",4,7,6,4,5,5,5,"Articles internet","Je n'utilise pas les réseaux sociaux","Assez","Non",NA,NA,"Réseaux sociaux","Un peu","Oui, ceux qui partagent les opinions","Moins d'une heure/jour",2,"Souvent","Facebook","Assez","Ni en accord, ni en désaccord",NA,"Ni en accord, ni en désaccord","Plutôt d’accord","Plutôt informé",0,5,"Moyennement confiance","Moyennement confiance","Moyennement confiance","Non","Incertain",1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,2,"Non, jamais",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,"De Gaulle",10,"Ne pas voter","Voter pour ce parti quand même","Ni satisfait, ni insatisfait","J'irais probablement voter",8,"L'idéologie","Ne sais pas",NA,"Une élection sur deux","Bloc Québécois",NA
"618",1999,21,NA,"$60,000 à $90,000","Femme","Canada","Français",2,"universitaire premier cycle","pas important du tout","oui, quelques-uns","Canada",1,2,1,"QC",1,"classe moyenne",1,1,"oui","oui","détérioré","Satisfait",2,"Satisfait",6,"NPD","Les politiques sont adéquates, permettent à l'économie de rester stable","Beaucoup plus d'ouverture","Plutôt en désaccord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Assez en désaccord","Assez en désaccord","Plutôt en désaccord",NA,"Plutôt en désaccord","Plutôt en désaccord","NDP","Peu répandue",8,8,"Plutôt mauvaise opinion",NA,"resté stable","Sans opinion","Moyennement","Je vais davantage m’intéresser aux politiques proposées","NPD",NA,"NPD",NA,2,"Plus importante",6,2,3,1,5,4,8,"Beaucoup",NA,2,"Assez satisfait","Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Non, pas envers l’élite politique mais la démocratie seulement","Moyennement confiance","Moyennement","Fortement en désaccord","Fortement d’accord","Plutôt en désaccord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Assez en désaccord","Fortement d’accord","Fortement d’accord","Plutôt en désaccord",1,10,"Très intéressé",10,"Manifestations, pétitions et vote","Oui",1,3,4,1,2,"Pas du tout","Peu satisfait","Tout à fait en faveur",NA,10,6,0,9,5,9,"Journaux","Oui, plusieurs fois","Assez","Non",NA,NA,"journaux en ligne-papier","Oui","Oui, de tous bords politiques","2-3 heures/jour",3,"Systématiquement","Autre","Pas du tout","Plutôt d’accord",NA,"Ni en accord, ni en désaccord","Plutôt en désaccord","Bien informé",0,10,"Moyennement confiance","Moyennement confiance","Beaucoup confiance","Non","Non",0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619",1999,21,NA,"$90,000 à 110,000","Homme","Autre",NA,1,"universitaire premier cycle","pas très important","oui, beaucoup","France",2,2,NA,NA,NA,"classe supérieure",1,1,"non","non","resté stable","Satisfait",2,"Satisfait",NA,NA,"Les politiques sont adéquates, permettent à l'économie de rester stable","Neutre","Ni en accord, ni en désaccord","Plutôt d’accord","Assez en désaccord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord",NA,"Ni en accord, ni en désaccord","Plutôt d’accord","Je ne sais pas","Très répandue",10,8,"Plutôt bonne opinion","resté stable","détériorée","Peu satisfaisant","Grandement","Je vais faire un croisement entre les politiques passées et les perspectives proposées",NA,"République en marche",NA,"République en marche",1,"Ni plus ni moins importante",5,1,4,6,2,3,7,"Un peu","Plutôt inquiet",7,"Peu satisfait","Grandement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Oui, mais de moins en moins","Peu confiance","Moyennement","Plutôt d’accord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Assez en désaccord","Plutôt d’accord","Assez en désaccord","Plutôt d’accord","Plutôt d’accord","Assez en désaccord","Assez en désaccord",NA,8,"Intéressé",NA,"Le vote","Non",8,3,2,4,1,"De manière satisfaisante","Neutre","Plutôt en faveur",NA,6,6,7,5,6,7,"Télévision",NA,"Beaucoup","Ne sais pas",NA,NA,"journaux en ligne-papier","Pas du tout","Non","2-3 heures/jour",4,"Rarement","Youtube","Assez","Plutôt d’accord",NA,"Plutôt en désaccord","Assez en désaccord","Plutôt informé",7,8,"Moyennement confiance","Beaucoup confiance","Moyennement confiance","Non","Oui",NA,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"Oui, je vote toujours",2,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macron",10,"Ne pas voter","Ne pas voter","Tout à fait satisfait","J'irais probablement voter",9,"L'idéologie","Non","Non","Une élection sur deux",NA,"Aucun"
"620",1999,21,NA,"Je ne sais pas / Préfère ne pas répondre)","Femme",NA,NA,1,NA,"assez important","oui, beaucoup","Canada",2,2,1,"QC",2,"classe moyenne",1,1,"non","non","détérioré","Satisfait",1,"Satisfait",5,NA,"Les politiques sont adéquates, mais l'économie souffre","Moins d'ouverture","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Plutôt en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Plutôt d’accord","Fortement d’accord",NA,"Fortement d’accord","Plutôt d’accord","NDP",NA,NA,NA,"Plutôt bonne opinion","détériorée","améliorée","Peu satisfaisant","Grandement","Je vais faire un croisement entre les politiques passées et les perspectives proposées","Non, aucun",NA,"Parti conservateur",NA,1,"Beaucoup plus importante",5,6,4,2,1,3,NA,"Un peu",NA,0,"Assez satisfait","Grandement satisfait","Je ne m’y intéresse pas du tout parce que je n’y crois plus","Non, pas envers l’élite politique mais la démocratie seulement","Moyennement confiance","Peu","Fortement en désaccord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Assez en désaccord",NA,4,"Intéressé",1,"Manifestations, pétitions et vote","Non",7,3,4,2,1,NA,NA,"Plutôt en faveur",NA,8,5,0,7,NA,8,"Télévision","Oui, une fois","Beaucoup","Non",NA,NA,"Famille","Oui","Non","2-3 heures/jour",4,"Rarement","Facebook","Assez","Fortement d’accord",NA,"Fortement d’accord","Plutôt en désaccord","Pas du tout informé",5,7,"Pas confiance","Un peu confiance","Moyennement confiance","Non","Oui",NA,NA,1,1,NA,NA,1,0,0,1,0,0,0,0,0,NA,"Non, mais la plupart du temps",2,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,5,"Choisir l'option la moins pire","Voter pour le parti adverse en espérant passer un message","Satisfait","J'irais certainement voter",10,"L'idéologie","Oui",NA,"Une élection sur trois","Bloc Québécois",NA
"621",1999,21,NA,"Je ne sais pas / Préfère ne pas répondre)","Homme","Autre",NA,1,"universitaire deuxième cycle et plus","pas important du tout","oui, beaucoup","Canada",2,1,1,"QC",2,"classe moyenne",2,1,"non","non",NA,"Satisfait",1,"Très satisfait",7,NA,"Les politiques sont adéquates, permettent à l'économie de rester stable","Un peu plus d'ouverture",NA,NA,NA,"Assez en désaccord",NA,NA,NA,NA,"Assez en désaccord","Ni en accord, ni en désaccord",NA,"Pas du tout répandue",8,NA,"Ni bonne ni mauvaise opinion",NA,NA,NA,"Moyennement",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peu satisfait",NA,"Je ne m’y intéresse que très peu parce que je ne suis pas intéressé.e par a politique","Non, pas envers l’élite politique mais la démocratie seulement","Beaucoup confiance","Moyennement","Plutôt d’accord","Fortement en désaccord","Plutôt en désaccord","Fortement en désaccord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Fortement d’accord","Fortement d’accord","Ni en accord, ni en désaccord","Plutôt d’accord",NA,NA,"désintéressé",4,"Manifestations, pétitions et vote",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Je n'utilise pas les réseaux sociaux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622",1999,21,NA,"moins de $30,000","Femme","Allemagne",NA,1,"universitaire premier cycle","Très important","oui, quelques-uns","France",2,1,2,NA,NA,"classe ouvrière",1,NA,"oui","Je ne sais pas",NA,"Peu satisfait",NA,"Peu satisfait",4,"Parti vert","Les politiques sont idéales","Moins d'ouverture","Assez en désaccord","Ni en accord, ni en désaccord","Assez en désaccord","Fortement d’accord","Ni en accord, ni en désaccord","Assez en désaccord","Plutôt d’accord",NA,"Fortement d’accord","Ni en accord, ni en désaccord","Je ne sais pas","Pas du tout répandue",5,NA,"Ni bonne ni mauvaise opinion","resté stable","resté stable","Pas du tout satisfaisant","Moyennement","Je vais davantage m’intéresser aux politiques proposées",NA,NA,NA,NA,2,"Moins importante",1,NA,NA,NA,NA,NA,NA,NA,NA,7,"Très satisfait","Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Non, cela n'a rien à voir","Pas confiance","Moyennement","Plutôt d’accord","Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Assez en désaccord","Assez en désaccord","Assez en désaccord","Plutôt en désaccord",7,6,"Très intéressé",NA,"Aucun","Ne sais pas",8,2,NA,NA,NA,"De manière satisfaisante","Satisfait","Tout à fait en défaveur",NA,5,4,0,7,8,7,"Réseaux sociaux","Non","Peu","Oui",NA,"Républicains","Famille","Un peu","Oui, de tous bords politiques","2-3 heures/jour",NA,"Rarement","Facebook","Assez","Fortement en désaccord",NA,"Ni en accord, ni en désaccord","Assez en désaccord","Plutôt informé",8,5,"Pas confiance","Un peu confiance","Moyennement confiance","Oui","Incertain",0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Non, mais la plupart du temps",NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hollande",7,"Voter au hasard","Voter pour le parti adverse en espérant passer un message","Satisfait","J'irais certainement voter",6,"Le candidat","Oui",NA,"Une élection sur deux",NA,"République en marche"
"623",1999,21,NA,"moins de $30,000","Femme","Canada","Autre",1,"universitaire premier cycle","assez important","oui, beaucoup","Canada",1,2,1,"QC",2,NA,2,2,"non","non","détérioré","Satisfait",1,"Satisfait",5,"Parti libéral","Les politiques sont adéquates, mais l'économie souffre","Neutre","Plutôt en désaccord","Plutôt d’accord","Assez en désaccord","Plutôt d’accord","Assez en désaccord","Ni en accord, ni en désaccord","Fortement d’accord",NA,"Ni en accord, ni en désaccord","Assez en désaccord","Parti libéral",NA,11,6,"Ni bonne ni mauvaise opinion","détériorée","resté stable","Sans opinion","Moyennement",NA,"Parti libéral",NA,"Parti libéral",NA,2,"Beaucoup plus importante",6,4,1,5,3,2,5,"Un peu",NA,5,"Assez satisfait","Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Non, pas envers l’élite politique mais la démocratie seulement","Beaucoup confiance","Moyennement","Ni en accord, ni en désaccord","Plutôt d’accord","Assez en désaccord","Fortement d’accord","Fortement d’accord","Plutôt d’accord","Assez en désaccord","Plutôt d’accord","Plutôt d’accord","Ni en accord, ni en désaccord",9,9,"Intéressé",7,"Manifestations, pétitions et vote","Oui",NA,2,3,1,4,"De manière satisfaisante","Satisfait","Sans opinion, neutre",0,5,9,2,5,3,5,"Articles internet","Oui, plusieurs fois","Beaucoup","Oui","Parti conservateur",NA,"journaux en ligne-papier","Oui","Non","Moins d'une heure/jour",4,"Souvent","Youtube","Peu","Plutôt d’accord",NA,"Fortement d’accord","Assez en désaccord","Plutôt informé",0,10,"Moyennement confiance","Beaucoup confiance","Moyennement confiance","Non","Oui",1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,"Hollande",7,"Choisir l'option la moins pire",NA,"Satisfait","J'irais probablement voter",10,NA,NA,NA,NA,"Parti conservateur",NA
"624",1999,21,NA,"moins de $30,000","Femme","Canada",NA,2,"universitaire premier cycle","pas important du tout","non aucun","Canada",1,2,1,"QC",1,"classe moyenne",1,1,"oui","oui","resté stable","Peu satisfait",1,"Peu satisfait",7,"NPD","Les politiques sont adéquates, mais l'économie souffre","Beaucoup plus d'ouverture","Plutôt en désaccord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Ni en accord, ni en désaccord","Plutôt d’accord","Plutôt d’accord",NA,"Ni en accord, ni en désaccord","Plutôt en désaccord","Je ne sais pas",NA,4,7,"Ni bonne ni mauvaise opinion","détériorée","resté stable","Assez satisfaisant","Peu","Je vais davantage m’intéresser aux politiques proposées","Parti libéral",NA,"NPD",NA,2,"Beaucoup plus importante",2,5,3,1,4,6,7,"Beaucoup",NA,2,"Assez satisfait","Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Oui, totalement","Moyennement confiance","Peu","Assez en désaccord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord",8,7,"Indifférent",3,"Manifestations, pétitions et vote","Oui",8,3,1,2,4,"Pas vraiment","Satisfait","Sans opinion, neutre",1,10,5,1,10,10,10,"Télévision","Non","Peu","Non",NA,NA,"Amis","Un peu","Non","plus de 3 heures/jour",4,"Rarement","Facebook","Beaucoup","Fortement d’accord",NA,"Plutôt d’accord","Plutôt d’accord","Pas très informé",6,10,"Moyennement confiance","Moyennement confiance","Moyennement confiance","Oui","Oui",1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,5,"Choisir l'option la moins pire","Voter pour ce parti quand même","Satisfait","J'irais certainement voter",7,"L'idéologie","Oui",NA,"À aucune élection","Parti conservateur",NA
